4274.0	132	3999928.5
4112.0	153	3999929.8
4434.0	59	3999929.8
4435.0	128	3999930.3
4353.0	52	3999930.5
4354.0	3	3999930.6
4113.0	138	3999930.8
4516.0	105	3999930.9
4273.0	179	3999931.0
4275.0	19	3999931.0
4194.0	27	3999931.1
4437.0	186	3999931.2
4597.0	28	3999931.2
4035.0	10	3999931.3
4195.0	29	3999931.3
4436.0	136	3999931.3
4197.0	58	3999931.4
4357.0	189	3999931.5
4517.0	166	3999931.6
4032.0	116	3999931.7
4193.0	60	3999931.7
3955.0	78	3999931.8
4115.0	115	3999931.8
4116.0	139	3999931.8
4276.0	85	3999931.8
4355.0	17	3999931.8
4598.0	41	3999931.8
3952.0	146	3999931.9
3954.0	135	3999931.9
4034.0	183	3999931.9
4037.0	172	3999932.1
4277.0	152	3999932.1
4358.0	30	3999932.1
4033.0	108	3999932.2
4117.0	72	3999932.3
4114.0	103	3999932.4
4118.0	122	3999932.4
4438.0	167	3999932.4
4518.0	155	3999932.5
3953.0	48	3999932.6
4278.0	94	3999932.7
4360.0	185	3999932.7
4036.0	118	3999932.8
4196.0	101	3999932.8
3876.0	13	3999932.9
4599.0	192	3999933.0
4359.0	174	3999933.1
3872.0	12	3999933.2
4038.0	126	3999933.2
4119.0	76	3999933.2
4521.0	104	3999933.2
3713.0	4	3999933.3
4440.0	150	3999933.4
3796.0	187	3999933.5
4439.0	113	3999933.5
3875.0	137	3999933.6
3957.0	18	3999933.6
3715.0	164	3999933.8
4282.0	24	3999933.8
3636.0	106	3999934.0
4279.0	127	3999934.2
4441.0	62	3999934.5
4041.0	181	3999934.7
4669.0	307	3999006.1
4185.0	576	3999007.7
3168.0	218	3999010.9
2990.0	548	3999016.0
3571.0	235	3999028.9
2841.0	202	3999030.3
5240.0	404	3999036.7
3947.0	553	3999037.0
4132.0	507	3999037.9
4749.0	236	3999038.7
4025.0	433	3999041.5
3947.0	553	3999047.2
3891.0	547	3999048.5
3004.0	339	3999049.2
3868.0	403	3999052.2
4688.0	589	3999053.6
5241.0	254	3999057.3
3149.0	585	3999060.4
4428.0	333	3999062.7
4510.0	549	3999065.0
4667.0	474	3999068.6
2913.0	476	3999069.3
2999.0	472	3999073.8
4587.0	323	3999076.4
3005.0	413	3999079.7
3386.0	557	3999081.6
4027.0	414	3999082.1
3468.0	428	3999083.8
4428.0	333	3999084.2
3076.0	468	3999088.1
3150.0	260	3999088.4
5154.0	345	3999095.5
3812.0	519	3999096.8
4131.0	590	3999100.4
4849.0	475	3999100.8
4613.0	513	3999103.4
5155.0	399	3999107.8
