0.0	7627	7.627000000000003e-15	1.0000000000000005e-18	3.851859888774472e-34
300.0	7627	19675.435801809756	2.5797083783676094	2.4119886899514706
600.0	7627	20062.145577166113	2.630411115401352	2.646600384461389
900.0	7627	20094.20403628233	2.634614400981032	2.8329496762845787
1200.0	7627	19841.446812514954	2.6014746050235944	2.9909407695060777
1500.0	7627	19779.830943979374	2.593395954369919	3.1292308861931164
1600.0	7682	19867.176403606667	2.586198438376291	3.1488267244227437
1700.0	7805	20309.444658944896	2.6021069390063927	3.1963935574435403
1800.0	7924	19848.59575085865	2.504870740895842	3.202313471419811
1900.0	8163	20173.537740426942	2.471338691709781	3.2367349775426746
2000.0	8352	20114.834617548888	2.408385370875106	3.245813268837143
2100.0	8534	19671.312181332392	2.305051814076915	3.2050697301507074
2200.0	8843	19861.139912145572	2.245973076121856	3.185120164139194
2300.0	9137	19454.78479351254	2.1292311254801946	3.1413887825304787
2400.0	9476	19202.719741832112	2.026458394030404	3.0962640914838673
2500.0	9850	18758.419971969415	1.9044081189816666	3.0356266201741544
2600.0	10366	19019.82844417398	1.834828134687824	3.0059332634232865
2700.0	10965	19008.361533824747	1.733548703495189	2.9541602851806164
2800.0	11750	18607.566807820338	1.5836227070485394	2.8623552937510386
2900.0	12538	18811.375966660744	1.500349016323237	2.8106010846703615
3000.0	13247	18572.714785443583	1.4020317645839497	2.7389692403579184
4000.0	20057	17832.113298243046	0.8890718102529315	2.295330826104666
5000.0	24112	15563.136951138393	0.6454519306212008	2.0304120635139373
6000.0	27739	11523.807391718577	0.4154370161764511	1.6356402048946084
7000.0	32388	9216.201481232376	0.28455605413215934	1.2869044481525669
8000.0	38227	7991.836276512042	0.2090626069665954	1.0466915683697957
9000.0	44548	7157.679099626968	0.16067341069468816	0.8719978704858096
10000.0	50804	6385.6133601528045	0.12569115345549178	0.7365602055348724
11000.0	56348	5632.198071313289	0.09995382393897367	0.6307473219895963
12000.0	62195	5348.925443636279	0.08600249929473879	0.5491139836132817
13000.0	67653	4541.655598146272	0.06713162163017562	0.4678330931862981
14000.0	72557	4272.549187296282	0.05888541680742426	0.4003549936713491
15000.0	76604	3582.0524794397256	0.0467606453897933	0.32888710737822435
16000.0	80790	3141.572230643686	0.03888565701997383	0.2795648240667048
17000.0	84790	2810.8488121335795	0.03315071131187144	0.22677574294456448
18000.0	88635	2669.8976089189973	0.030122385162960424	0.18259331713235
19000.0	92347	2447.1284330687154	0.02649927375083885	0.14276905254840533
